zipcode,zipcode_type,major_city,post_office_city,county,state,lat,lng
99501,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.3,-149.8
99502,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.2,-150.1
99503,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.19,-149.89
99504,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.21,-149.73
99505,Standard,Jber,"Jber, AK",Anchorage Municipality,AK,61.26,-149.69
99506,Standard,Jber,"Jber, AK",Anchorage Municipality,AK,61.26,-149.79
99507,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.2,-149.7
99508,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.21,-149.82
99509,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.1993718,-149.9186747
99510,PO Box,Anchorage,"Anchorage, AK",North Slope Borough,AK,61.218,-149.858
99511,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.11,-149.86
99513,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.218,-149.858
99514,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.22,-149.9
99515,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.1,-149.8
99516,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.1,-149.7
99517,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.19,-149.95
99518,Standard,Anchorage,"Anchorage, AK",Anchorage Municipality,AK,61.16,-149.89
99519,PO Box,Anchorage,"Anchorage, AK",North Slope Borough,AK,61.218,-149.858
99520,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.21,-149.86
99521,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.2,-149.73
99522,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.15,-149.9199999
99523,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.17,-149.84
99524,PO Box,Anchorage,NA,Anchorage Municipality,AK,61.22,-149.9
99529,Standard,Anchorage,NA,Anchorage Municipality,AK,61.1834354,-149.9882262
99530,Standard,Anchorage,NA,Anchorage Municipality,AK,61.1918603,-149.983574
99540,Standard,Indian,"Indian, AK",Anchorage Municipality,AK,61,-149.5
99545,PO Box,Kongiganak,NA,Bethel Census Area,AK,59.9595406,-162.8893068
99546,PO Box,Adak,"Adak, AK",Aleutians West Census Area,AK,51.86661,-176.63789
99547,PO Box,Atka,"Atka, AK",Aleutians West Census Area,AK,53,-173
99548,PO Box,Chignik Lake,"Chignik Lake, AK",Lake and Peninsula Borough,AK,57,-156
99549,PO Box,Port Heiden,"Port Heiden, AK",Lake and Peninsula Borough,AK,57,-157
99550,PO Box,Port Lions,"Port Lions, AK",Kodiak Island Borough,AK,58,-153
99551,PO Box,Akiachak,"Akiachak, AK",Bethel Census Area,AK,60.9,-161.4
99552,PO Box,Akiak,"Akiak, AK",Bethel Census Area,AK,60.89,-161.19
99553,PO Box,Akutan,"Akutan, AK",Aleutians East Borough,AK,54.1,-165.5
99554,PO Box,Alakanuk,"Alakanuk, AK",Wade Hampton Census Area,AK,62.7,-164.7
99555,PO Box,Aleknagik,"Aleknagik, AK",Dillingham Census Area,AK,59.29,-158.62
99556,Standard,Anchor Point,"Anchor Point, AK",Kenai Peninsula Borough,AK,59.8,-151.7
99557,PO Box,Aniak,"Aniak, AK",Bethel Census Area,AK,62,-157
99558,PO Box,Anvik,"Anvik, AK",Yukon-Koyukuk Census Area,AK,63,-160
99559,PO Box,Bethel,"Bethel, AK",Bethel Census Area,AK,61,-161
99561,PO Box,Chefornak,"Chefornak, AK",Bethel Census Area,AK,60.15,-164.25
99563,PO Box,Chevak,"Chevak, AK",Wade Hampton Census Area,AK,61.53,-165.59
99564,PO Box,Chignik,"Chignik, AK",Lake and Peninsula Borough,AK,56.3,-158.4
99565,PO Box,Chignik Lagoon,"Chignik Lagoon, AK",Lake and Peninsula Borough,AK,56.6,-158.8
99566,PO Box,Chitina,"Chitina, AK",Valdez-Cordova Census Area,AK,61.515,-144.438
99567,Standard,Chugiak,"Chugiak, AK",Anchorage Municipality,AK,61.3,-149.4
99568,Standard,Clam Gulch,"Clam Gulch, AK",Kenai Peninsula Borough,AK,60.2,-151.4
99569,PO Box,Clarks Point,"Clarks Point, AK",Dillingham Census Area,AK,58.8,-157.9
99571,PO Box,Cold Bay,"Cold Bay, AK",Aleutians East Borough,AK,55,-161
99572,Standard,Cooper Landing,"Cooper Landing, AK",Kenai Peninsula Borough,AK,60.5,-150.1
99573,Standard,Copper Center,"Copper Center, AK",Valdez-Cordova Census Area,AK,62,-145
99574,PO Box,Cordova,"Cordova, AK",Valdez-Cordova Census Area,AK,60,-143
99575,PO Box,Crooked Creek,"Crooked Creek, AK",Bethel Census Area,AK,61.8612,-158.1317
99576,PO Box,Dillingham,"Dillingham, AK",Dillingham Census Area,AK,59,-158.5
99577,Standard,Eagle River,"Eagle River, AK",Anchorage Municipality,AK,61.1,-149.1
99578,PO Box,Eek,"Eek, AK",Bethel Census Area,AK,60,-161
99579,PO Box,Egegik,"Egegik, AK",Lake and Peninsula Borough,AK,58.2,-157.4
99580,PO Box,Ekwok,"Ekwok, AK",Dillingham Census Area,AK,59.36,-157.49
99581,PO Box,Emmonak,"Emmonak, AK",Wade Hampton Census Area,AK,63,-164.4
99583,PO Box,False Pass,"False Pass, AK",Aleutians East Borough,AK,54.7,-164
99585,PO Box,Marshall,"Marshall, AK",Wade Hampton Census Area,AK,62,-163
99586,Standard,Gakona,"Gakona, AK",Valdez-Cordova Census Area,AK,62,-143
99587,PO Box,Girdwood,"Girdwood, AK",Anchorage Municipality,AK,60.8,-149
99588,Standard,Glennallen,"Glennallen, AK",Valdez-Cordova Census Area,AK,63,-146
99589,PO Box,Goodnews Bay,"Goodnews Bay, AK",Bethel Census Area,AK,59.13,-161.58
99590,PO Box,Grayling,"Grayling, AK",Yukon-Koyukuk Census Area,AK,62.91,-160.068
99591,PO Box,Saint George Island,"Saint George Island, AK",Aleutians West Census Area,AK,56.6,-169.6
99599,Standard,Anchorage,NA,Anchorage Municipality,AK,61.1870241,-149.8822186
99602,PO Box,Holy Cross,"Holy Cross, AK",Yukon-Koyukuk Census Area,AK,63,-159
99603,Standard,Homer,"Homer, AK",Kenai Peninsula Borough,AK,60,-151
99604,PO Box,Hooper Bay,"Hooper Bay, AK",Wade Hampton Census Area,AK,61.4,-165.5
99605,Standard,Hope,"Hope, AK",Kenai Peninsula Borough,AK,60.8,-149.6
99606,PO Box,Iliamna,"Iliamna, AK",Lake and Peninsula Borough,AK,59.5,-154.1
99607,PO Box,Kalskag,"Kalskag, AK",Bethel Census Area,AK,61.54,-160.33
99608,PO Box,Karluk,NA,Kodiak Island Borough,AK,57.560018,-154.4383352
99609,PO Box,Kasigluk,"Kasigluk, AK",Bethel Census Area,AK,60.895,-162.517
99610,Standard,Kasilof,"Kasilof, AK",Kenai Peninsula Borough,AK,60.2,-151.2
99611,Standard,Kenai,"Kenai, AK",Kenai Peninsula Borough,AK,60.7,-150.5
99612,PO Box,King Cove,"King Cove, AK",Aleutians East Borough,AK,56,-161
99613,PO Box,King Salmon,"King Salmon, AK",Bristol Bay Borough,AK,58.7,-156.68
99614,PO Box,Kipnuk,"Kipnuk, AK",Bethel Census Area,AK,61,-163
99615,Standard,Kodiak,"Kodiak, AK",Kodiak Island Borough,AK,57,-153
99619,PO Box,Kodiak,NA,Kodiak Island Borough,AK,57.42,-153.53
99620,PO Box,Kotlik,"Kotlik, AK",Wade Hampton Census Area,AK,63,-163
99621,PO Box,Kwethluk,"Kwethluk, AK",Bethel Census Area,AK,60.8,-161.43
99622,PO Box,Kwigillingok,"Kwigillingok, AK",Bethel Census Area,AK,60,-163
99623,Standard,Wasilla,NA,Matanuska-Susitna Borough,AK,61.581631,-149.4393325
99624,PO Box,Larsen Bay,"Larsen Bay, AK",Kodiak Island Borough,AK,57.53,-154
99625,PO Box,Levelock,"Levelock, AK",Lake and Peninsula Borough,AK,59,-156
99626,PO Box,Lower Kalskag,"Lower Kalskag, AK",Bethel Census Area,AK,61.52,-160.36
99627,PO Box,Mc Grath,"Mc Grath, AK",Yukon-Koyukuk Census Area,AK,63,-155
99628,PO Box,Manokotak,"Manokotak, AK",Dillingham Census Area,AK,60,-158
99629,PO Box,Wasilla,NA,Matanuska-Susitna Borough,AK,61.58,-149.44
99630,PO Box,Mekoryuk,"Mekoryuk, AK",Bethel Census Area,AK,60,-169
99631,Standard,Moose Pass,"Moose Pass, AK",Kenai Peninsula Borough,AK,60.7,-149.4
99632,PO Box,Mountain Village,"Mountain Village, AK",Wade Hampton Census Area,AK,62,-165
99633,PO Box,Naknek,"Naknek, AK",Bristol Bay Borough,AK,58.8,-156.7
99634,PO Box,Napakiak,"Napakiak, AK",Bethel Census Area,AK,60,-161
99635,PO Box,Nikiski,NA,Kenai Peninsula Borough,AK,60.7304052,-151.3014238
99636,PO Box,New Stuyahok,"New Stuyahok, AK",Dillingham Census Area,AK,59.45,-157.31
99637,PO Box,Toksook Bay,"Toksook Bay, AK",Bethel Census Area,AK,60.5,-165.1
99638,PO Box,Nikolski,"Nikolski, AK",Aleutians West Census Area,AK,53.4,-168.5
99639,Standard,Ninilchik,"Ninilchik, AK",Kenai Peninsula Borough,AK,60,-151.5
99640,PO Box,Nondalton,"Nondalton, AK",Lake and Peninsula Borough,AK,59.972,-154.849
99641,PO Box,Nunapitchuk,"Nunapitchuk, AK",Bethel Census Area,AK,60.89,-162.46
99643,PO Box,Old Harbor,"Old Harbor, AK",Kodiak Island Borough,AK,57.2022,-153.3057
99644,PO Box,Ouzinkie,"Ouzinkie, AK",Kodiak Island Borough,AK,57.93,-152.42
99645,Standard,Palmer,"Palmer, AK",Matanuska-Susitna Borough,AK,62,-148
99647,PO Box,Pedro Bay,"Pedro Bay, AK",Lake and Peninsula Borough,AK,60.1,-154.3
99648,PO Box,Perryville,"Perryville, AK",Lake and Peninsula Borough,AK,56,-159
99649,PO Box,Pilot Point,"Pilot Point, AK",Lake and Peninsula Borough,AK,57.6,-157.6
99650,PO Box,Pilot Station,"Pilot Station, AK",Wade Hampton Census Area,AK,61.94,-162.89
99651,PO Box,Platinum,"Platinum, AK",Bethel Census Area,AK,59,-161.3
99652,PO Box,Big Lake,"Big Lake, AK",Matanuska-Susitna Borough,AK,61.484,-149.983
99653,PO Box,Port Alsworth,"Port Alsworth, AK",Lake and Peninsula Borough,AK,60,-155
99654,Standard,Wasilla,"Wasilla, AK",Matanuska-Susitna Borough,AK,61.6,-149.4
99655,PO Box,Quinhagak,"Quinhagak, AK",Bethel Census Area,AK,59.4,-161.7
99656,PO Box,Red Devil,"Red Devil, AK",Bethel Census Area,AK,61.8,-157
99657,PO Box,Russian Mission,"Russian Mission, AK",Wade Hampton Census Area,AK,61.8,-160.8
99658,PO Box,Saint Marys,"Saint Marys, AK",Wade Hampton Census Area,AK,62.1,-163.4
99659,PO Box,Saint Michael,"Saint Michael, AK",Nome Census Area,AK,63.3,-161.7
99660,PO Box,Saint Paul Island,"Saint Paul Island, AK",Aleutians West Census Area,AK,57.2,-170.2
99661,PO Box,Sand Point,"Sand Point, AK",Aleutians East Borough,AK,55.3,-160.5
99662,PO Box,Scammon Bay,"Scammon Bay, AK",Wade Hampton Census Area,AK,61.84,-165.59
99663,PO Box,Seldovia,"Seldovia, AK",Kenai Peninsula Borough,AK,59.44,-151.71
99664,Standard,Seward,"Seward, AK",Kenai Peninsula Borough,AK,60.3,-149.1
99665,PO Box,Shageluk,"Shageluk, AK",Yukon-Koyukuk Census Area,AK,63,-160
99666,PO Box,Nunam Iqua,"Nunam Iqua, AK",Wade Hampton Census Area,AK,62.529,-164.843
99667,PO Box,Skwentna,"Skwentna, AK",Matanuska-Susitna Borough,AK,62.2,-151.8
99668,PO Box,Sleetmute,"Sleetmute, AK",Bethel Census Area,AK,61.6,-157
99669,Standard,Soldotna,"Soldotna, AK",Kenai Peninsula Borough,AK,60.4,-150.9
99670,PO Box,South Naknek,"South Naknek, AK",Bristol Bay Borough,AK,58.7,-156.9
99671,PO Box,Stebbins,"Stebbins, AK",Nome Census Area,AK,63.5,-162.4
99672,Standard,Sterling,"Sterling, AK",Kenai Peninsula Borough,AK,60.6,-150.5
99674,PO Box,Sutton,"Sutton, AK",Matanuska-Susitna Borough,AK,61.8,-148.3
99675,PO Box,Takotna,NA,Yukon-Koyukuk Census Area,AK,62.97514,-156.12494
99676,Standard,Talkeetna,"Talkeetna, AK",Matanuska-Susitna Borough,AK,63,-148
99677,PO Box,Tatitlek,"Tatitlek, AK",Valdez-Cordova Census Area,AK,60.891,-146.695
99678,PO Box,Togiak,"Togiak, AK",Dillingham Census Area,AK,59,-161
99679,PO Box,Tuluksak,"Tuluksak, AK",Bethel Census Area,AK,61.11,-160.95
99680,PO Box,Tuntutuliak,"Tuntutuliak, AK",Bethel Census Area,AK,60.343,-162.664
99681,PO Box,Tununak,"Tununak, AK",Bethel Census Area,AK,60.6,-164.8
99682,PO Box,Tyonek,"Tyonek, AK",Kenai Peninsula Borough,AK,60,-153
99683,PO Box,Trapper Creek,"Trapper Creek, AK",Matanuska-Susitna Borough,AK,62,-151
99684,PO Box,Unalakleet,"Unalakleet, AK",Nome Census Area,AK,63.5,-160.7
99685,PO Box,Unalaska,"Unalaska, AK",Aleutians West Census Area,AK,53.6,-167
99686,Standard,Valdez,"Valdez, AK",Valdez-Cordova Census Area,AK,61,-146
99687,PO Box,Wasilla,NA,Matanuska-Susitna Borough,AK,61.5835132,-149.4406558
99688,Standard,Willow,"Willow, AK",Matanuska-Susitna Borough,AK,61.73,-150.08
99689,PO Box,Yakutat,"Yakutat, AK",Yakutat City and Borough,AK,60,-141
99690,PO Box,Nightmute,"Nightmute, AK",Bethel Census Area,AK,60.5,-164.8
99691,PO Box,Nikolai,"Nikolai, AK",Yukon-Koyukuk Census Area,AK,63.01,-154.38
99692,PO Box,Dutch Harbor,"Dutch Harbor, AK",Aleutians West Census Area,AK,53.7,-166.5
99693,PO Box,Whittier,"Whittier, AK",Valdez-Cordova Census Area,AK,60,-148
99694,PO Box,Houston,"Houston, AK",Matanuska-Susitna Borough,AK,61.613,-149.786
99695,PO Box,Anchorage,"Anchorage, AK",Municipality of Anchorage,AK,61.218,-149.858
99697,PO Box,Kodiak,NA,Kodiak Island Borough,AK,57.536319,-153.4058863
99701,Standard,Fairbanks,"Fairbanks, AK",Fairbanks North Star Borough,AK,64.6,-147.3
99702,Standard,Eielson Afb,"Eielson Afb, AK",Fairbanks North Star Borough,AK,64.69,-147.08
99703,Standard,Fort Wainwright,"Fort Wainwright, AK",Fairbanks North Star Borough,AK,64.6,-147.2
99704,Standard,Clear,"Clear, AK",Denali Borough,AK,64.29,-149.2
99705,Standard,North Pole,"North Pole, AK",Fairbanks North Star Borough,AK,64.7,-147.3
99706,PO Box,Fairbanks,"Fairbanks, AK",Southeast Fairbanks Census Area,AK,64.846,-147.722
99707,PO Box,Fairbanks,NA,Fairbanks North Star Borough,AK,64.84,-147.72
99708,PO Box,Fairbanks,NA,Fairbanks North Star Borough,AK,64.84,-147.72
99709,Standard,Fairbanks,"Fairbanks, AK",Fairbanks North Star Borough,AK,64.6,-147.7
99710,PO Box,Fairbanks,NA,Fairbanks North Star Borough,AK,64.84,-147.72
99711,PO Box,Fairbanks,NA,Fairbanks North Star Borough,AK,64.84,-147.72
99712,Standard,Fairbanks,"Fairbanks, AK",Fairbanks North Star Borough,AK,65,-146
99714,Standard,Salcha,"Salcha, AK",Fairbanks North Star Borough,AK,64.5,-146.5
99716,PO Box,Two Rivers,NA,Fairbanks North Star Borough,AK,64.87,-147.04
99720,PO Box,Allakaket,"Allakaket, AK",Yukon-Koyukuk Census Area,AK,66.5,-152.8
99721,PO Box,Anaktuvuk Pass,"Anaktuvuk Pass, AK",North Slope Borough,AK,68.147,-151.73
99722,PO Box,Arctic Village,"Arctic Village, AK",Yukon-Koyukuk Census Area,AK,68,-143
99723,PO Box,Barrow,"Barrow, AK",North Slope Borough,AK,71,-156
99724,PO Box,Beaver,"Beaver, AK",Yukon-Koyukuk Census Area,AK,66.361,-147.406
99725,PO Box,Ester,NA,Fairbanks North Star Borough,AK,64.8456295,-148.0187325
99726,PO Box,Bettles Field,"Bettles Field, AK",Yukon-Koyukuk Census Area,AK,68,-148
99727,PO Box,Buckland,"Buckland, AK",Northwest Arctic Borough,AK,66,-162
99729,PO Box,Cantwell,"Cantwell, AK",Matanuska-Susitna Borough,AK,63.5,-148.7
99730,PO Box,Central,"Central, AK",Yukon-Koyukuk Census Area,AK,66,-146
99731,Standard,Fort Greely,NA,Southeast Fairbanks Census Area,AK,63.9157586,-145.6181329
99732,PO Box,Chicken,"Chicken, AK",Southeast Fairbanks Census Area,AK,63,-142
99733,PO Box,Circle,"Circle, AK",Yukon-Koyukuk Census Area,AK,65.824,-144.066
99734,PO Box,Prudhoe Bay,"Prudhoe Bay, AK",North Slope Borough,AK,69,-148
99736,PO Box,Deering,"Deering, AK",Northwest Arctic Borough,AK,66,-163
99737,Standard,Delta Junction,"Delta Junction, AK",Southeast Fairbanks Census Area,AK,64,-144
99738,PO Box,Eagle,"Eagle, AK",Southeast Fairbanks Census Area,AK,64.788,-141.203
99739,PO Box,Elim,"Elim, AK",Nome Census Area,AK,64.6,-162.4
99740,PO Box,Fort Yukon,"Fort Yukon, AK",Yukon-Koyukuk Census Area,AK,66.58,-145.25
99741,PO Box,Galena,"Galena, AK",Yukon-Koyukuk Census Area,AK,64.8,-157.7
99742,PO Box,Gambell,"Gambell, AK",Nome Census Area,AK,63.75,-171.69
99743,Standard,Healy,"Healy, AK",Denali Borough,AK,64,-148
99744,PO Box,Anderson,"Anderson, AK",Denali Borough,AK,64.1,-149.5
99745,PO Box,Hughes,"Hughes, AK",Yukon-Koyukuk Census Area,AK,65,-154
99746,PO Box,Huslia,"Huslia, AK",Yukon-Koyukuk Census Area,AK,65.7,-156.35
99747,PO Box,Kaktovik,"Kaktovik, AK",North Slope Borough,AK,70.1,-143.7
99748,PO Box,Kaltag,"Kaltag, AK",Yukon-Koyukuk Census Area,AK,64.32,-158.75
99749,PO Box,Kiana,"Kiana, AK",Northwest Arctic Borough,AK,66.9,-161.1
99750,PO Box,Kivalina,"Kivalina, AK",Northwest Arctic Borough,AK,67,-164
99751,PO Box,Kobuk,"Kobuk, AK",Northwest Arctic Borough,AK,67,-159
99752,PO Box,Kotzebue,"Kotzebue, AK",Northwest Arctic Borough,AK,66,-159
99753,PO Box,Koyuk,"Koyuk, AK",Nome Census Area,AK,65,-162
99754,PO Box,Koyukuk,"Koyukuk, AK",Yukon-Koyukuk Census Area,AK,64.9,-157.6
99755,PO Box,Denali National Park,"Denali National Park, AK",Denali Borough,AK,64,-151
99756,PO Box,Manley Hot Springs,"Manley Hot Springs, AK",Yukon-Koyukuk Census Area,AK,65,-150.3
99757,PO Box,Lake Minchumina,"Lake Minchumina, AK",Yukon-Koyukuk Census Area,AK,63.883,-152.319
99758,PO Box,Minto,"Minto, AK",Yukon-Koyukuk Census Area,AK,65,-149
99759,PO Box,Point Lay,"Point Lay, AK",North Slope Borough,AK,70,-163
99760,Standard,Nenana,"Nenana, AK",Yukon-Koyukuk Census Area,AK,64.54,-149.09
99761,PO Box,Noatak,"Noatak, AK",Northwest Arctic Borough,AK,68,-163
99762,PO Box,Nome,"Nome, AK",Nome Census Area,AK,66,-165
99763,PO Box,Noorvik,"Noorvik, AK",Northwest Arctic Borough,AK,66.8,-160.6
99764,PO Box,Northway,"Northway, AK",Southeast Fairbanks Census Area,AK,62.96,-141.929
99765,PO Box,Nulato,"Nulato, AK",Yukon-Koyukuk Census Area,AK,64.7,-158.2
99766,PO Box,Point Hope,"Point Hope, AK",North Slope Borough,AK,68.4,-166.6
99767,PO Box,Rampart,"Rampart, AK",Yukon-Koyukuk Census Area,AK,65,-150
99768,PO Box,Ruby,"Ruby, AK",Yukon-Koyukuk Census Area,AK,64.5,-154.9
99769,PO Box,Savoonga,"Savoonga, AK",Nome Census Area,AK,63,-170
99770,PO Box,Selawik,"Selawik, AK",Northwest Arctic Borough,AK,66.6,-160.1
99771,PO Box,Shaktoolik,"Shaktoolik, AK",Nome Census Area,AK,65,-160
99772,PO Box,Shishmaref,"Shishmaref, AK",Nome Census Area,AK,66.1,-166.5
99773,PO Box,Shungnak,"Shungnak, AK",Northwest Arctic Borough,AK,66.88,-157.15
99774,PO Box,Stevens Village,"Stevens Village, AK",Yukon-Koyukuk Census Area,AK,67,-149
99775,Standard,Fairbanks,"Fairbanks, AK",Fairbanks North Star Borough,AK,64.86,-147.82
99776,PO Box,Tanacross,"Tanacross, AK",Southeast Fairbanks Census Area,AK,63.385,-143.347
99777,PO Box,Tanana,"Tanana, AK",Yukon-Koyukuk Census Area,AK,65,-155
99778,PO Box,Teller,"Teller, AK",Nome Census Area,AK,65.26,-166.34
99779,Standard,Tok,NA,Southeast Fairbanks Census Area,AK,63.3359266,-142.9877015
99780,Standard,Tok,"Tok, AK",Southeast Fairbanks Census Area,AK,63,-142
99781,PO Box,Venetie,"Venetie, AK",Yukon-Koyukuk Census Area,AK,68,-145
99782,PO Box,Wainwright,"Wainwright, AK",North Slope Borough,AK,70,-161
99783,PO Box,Wales,"Wales, AK",Nome Census Area,AK,65,-168
99784,PO Box,White Mountain,"White Mountain, AK",Nome Census Area,AK,64.6,-163.6
99785,PO Box,Brevig Mission,"Brevig Mission, AK",Nome Census Area,AK,66,-167
99786,PO Box,Ambler,"Ambler, AK",Northwest Arctic Borough,AK,67.08,-157.86
99788,PO Box,Chalkyitsik,"Chalkyitsik, AK",Yukon-Koyukuk Census Area,AK,66,-143
99789,PO Box,Nuiqsut,"Nuiqsut, AK",North Slope Borough,AK,70.22,-150.99
99790,Standard,Fairbanks,"Fairbanks, AK",Yukon-Koyukuk Census Area,AK,64.846,-147.722
99791,PO Box,Atqasuk,"Atqasuk, AK",North Slope Borough,AK,70,-158
99801,Standard,Juneau,"Juneau, AK",Juneau City and Borough,AK,58,-134
99802,PO Box,Juneau,NA,City and Borough of Juneau,AK,58.3,-134.41
99803,PO Box,Juneau,NA,City and Borough of Juneau,AK,58.37,-134.59
99811,Standard,Juneau,NA,City and Borough of Juneau,AK,58.48,-134.15
99812,Unique,Juneau,NA,City and Borough of Juneau,AK,58.28,-134.4
99820,PO Box,Angoon,"Angoon, AK",Hoonah-Angoon Census Area,AK,58,-134
99821,PO Box,Auke Bay,NA,City and Borough of Juneau,AK,58.3809875,-134.660482
99824,Standard,Douglas,"Douglas, AK",Juneau City and Borough,AK,58.25,-134.39
99825,PO Box,Elfin Cove,"Elfin Cove, AK",Hoonah-Angoon Census Area,AK,58.18,-136.32
99826,PO Box,Gustavus,"Gustavus, AK",Hoonah-Angoon Census Area,AK,59,-137
99827,Standard,Haines,"Haines, AK",Haines Borough,AK,59,-135
99829,PO Box,Hoonah,"Hoonah, AK",Hoonah-Angoon Census Area,AK,58,-135.7
99830,PO Box,Kake,"Kake, AK",Petersburg Census Area,AK,56.8,-133.5
99832,PO Box,Pelican,"Pelican, AK",Hoonah-Angoon Census Area,AK,57.96,-136.22
99833,PO Box,Petersburg,"Petersburg, AK",Petersburg Census Area,AK,57,-133
99835,Standard,Sitka,"Sitka, AK",Sitka City and Borough,AK,57,-136
99836,PO Box,Port Alexander,"Port Alexander, AK",Petersburg Census Area,AK,56.22,-134.64
99840,PO Box,Skagway,"Skagway, AK",Skagway Municipality,AK,59.6,-135.4
99841,PO Box,Tenakee Springs,"Tenakee Springs, AK",Hoonah-Angoon Census Area,AK,57.775,-135.201
99850,PO Box,Juneau,NA,City and Borough of Juneau,AK,58.3022179,-134.4254831
99901,Standard,Ketchikan,"Ketchikan, AK",Ketchikan Gateway Borough,AK,55.6,-131.4
99903,PO Box,Meyers Chuck,"Meyers Chuck, AK",Wrangell City and Borough,AK,56,-131.5
99918,PO Box,Coffman Cove,"Coffman Cove, AK",Prince of Wales-Hyder Census Area,AK,56.01,-132.83
99919,PO Box,Thorne Bay,"Thorne Bay, AK",Prince of Wales-Hyder Census Area,AK,55.6,-132.4
99921,PO Box,Craig,"Craig, AK",Prince of Wales-Hyder Census Area,AK,55.49,-133.13
99922,PO Box,Hydaburg,"Hydaburg, AK",Prince of Wales-Hyder Census Area,AK,55.2,-132.9
99923,PO Box,Hyder,"Hyder, AK",Prince of Wales-Hyder Census Area,AK,56,-131
99925,PO Box,Klawock,"Klawock, AK",Prince of Wales-Hyder Census Area,AK,55.55,-133.08
99926,PO Box,Metlakatla,"Metlakatla, AK",Prince of Wales-Outer Ketchikan Borough,AK,55.1,-131.4
99927,PO Box,Point Baker,"Point Baker, AK",Prince of Wales-Hyder Census Area,AK,56.352,-133.629
99928,PO Box,Ward Cove,NA,Ketchikan Gateway Borough,AK,55.4104189,-131.7221803
99929,PO Box,Wrangell,"Wrangell, AK",Wrangell City and Borough,AK,56,-132
99950,PO Box,Ketchikan,NA,Prince of Wales-Outer Ketchikan Borough,AK,55.3422222,-131.6461111
35004,Standard,Moody,"Moody, AL",St. Clair County,AL,33.62,-86.5
35005,Standard,Adamsville,"Adamsville, AL",Jefferson County,AL,33.59,-86.99
35006,Standard,Adger,"Adger, AL",Jefferson County,AL,33.4,-87.2
35007,Standard,Alabaster,"Alabaster, AL",Shelby County,AL,33.22,-86.79
35010,Standard,Alexander City,"Alexander City, AL",Tallapoosa County,AL,32.9,-85.9
35011,PO Box,Alexander City,NA,Tallapoosa County,AL,32.94,-85.95
35013,PO Box,Allgood,"Allgood, AL",Blount County,AL,33.9,-86.4
35014,Standard,Alpine,"Alpine, AL",Talladega County,AL,33.3,-86.3
35015,PO Box,Alton,NA,Jefferson County,AL,33.5793239,-86.6376926
35016,Standard,Arab,"Arab, AL",Marshall County,AL,34.3,-86.5
35019,Standard,Baileyton,"Baileyton, AL",Cullman County,AL,34.31,-86.64
35020,Standard,Bessemer,"Bessemer, AL",Jefferson County,AL,33.4,-86.96
35021,PO Box,Bessemer,NA,Jefferson County,AL,33.3946166,-86.9615714
35022,Standard,Bessemer,"Bessemer, AL",Jefferson County,AL,33.3,-87
35023,Standard,Bessemer,"Bessemer, AL",Jefferson County,AL,33.5,-87.1
35031,Standard,Blountsville,"Blountsville, AL",Blount County,AL,34.1,-86.6
35032,PO Box,Bon Air,"Bon Air, AL",Talladega County,AL,33.263,-86.334
35033,Standard,Bremen,"Bremen, AL",Cullman County,AL,33.9,-87
35034,Standard,Brent,"Brent, AL",Bibb County,AL,33,-87.3
35035,Standard,Brierfield,"Brierfield, AL",Bibb County,AL,33,-87
35036,PO Box,Brookside,"Brookside, AL",Jefferson County,AL,33.639,-86.91
35038,PO Box,Burnwell,NA,Walker County,AL,33.71,-87.09
35040,Standard,Calera,"Calera, AL",Shelby County,AL,33.1,-86.7
35041,PO Box,Cardiff,NA,Jefferson County,AL,33.6456604,-86.9336061
35042,Standard,Centreville,"Centreville, AL",Bibb County,AL,32.9,-87.1
35043,Standard,Chelsea,"Chelsea, AL",Shelby County,AL,33.32,-86.65
35044,Standard,Childersburg,"Childersburg, AL",Talladega County,AL,33.3,-86.4
35045,Standard,Clanton,"Clanton, AL",Chilton County,AL,32.8,-86.7
35046,Standard,Clanton,"Clanton, AL",Chilton County,AL,32.9,-86.6
35048,PO Box,Clay,NA,Jefferson County,AL,33.69941,-86.60551
35049,Standard,Cleveland,"Cleveland, AL",Blount County,AL,33.96,-86.6
35051,Standard,Columbiana,"Columbiana, AL",Shelby County,AL,33.2,-86.6
35052,PO Box,Cook Springs,"Cook Springs, AL",St. Clair County,AL,33.5,-86.4
35053,Standard,Crane Hill,"Crane Hill, AL",Cullman County,AL,34.04,-87.05
