zipcode,zipcode_type,major_city,post_office_city,county,state,lat,lng
49461,Standard,Whitehall,"Whitehall, MI",Muskegon County,MI,43.4,-86.3
49463,PO Box,Sylvan Beach,NA,Muskegon County,MI,43.4099999,-86.35
49464,Standard,Zeeland,"Zeeland, MI",Ottawa County,MI,42.9,-86
49468,PO Box,Grandville,NA,Kent County,MI,42.9099999,-85.76
49501,PO Box,Grand Rapids,NA,Kent County,MI,42.9713293,-85.6736663
49502,Unique,Grand Rapids,NA,Kent County,MI,42.97,-85.67
49503,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.95,-85.67
49504,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.98,-85.71
49505,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,43,-85.63
49506,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.94,-85.62
49507,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.93,-85.65
49508,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.86,-85.62
49509,Standard,Wyoming,"Wyoming, MI",Kent County,MI,42.9,-85.69
49510,PO Box,Grand Rapids,NA,Kent County,MI,42.9267976,-85.6480724
49512,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.88,-85.53
49514,PO Box,Grand Rapids,NA,Kent County,MI,42.9898039,-85.7099088
49515,PO Box,Grand Rapids,NA,Kent County,MI,43.01,-85.63
49516,PO Box,Grand Rapids,NA,Kent County,MI,42.96,-85.63
49518,PO Box,Grand Rapids,NA,Kent County,MI,42.9862014,-85.625085
49519,Standard,Wyoming,"Wyoming, MI",Kent County,MI,42.9,-85.72
49523,PO Box,Grand Rapids,NA,Kent County,MI,42.96,-85.67
49525,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,43.01,-85.6
49528,PO Box,Grand Rapids,NA,Kent County,MI,42.9,-85.67
49530,Unique,Grand Rapids,NA,Kent County,MI,42.867941,-85.5462926
49534,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.97,-85.79
49544,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,43.05,-85.73
49546,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.93,-85.54
49548,Standard,Grand Rapids,"Grand Rapids, MI",Kent County,MI,42.87,-85.66
49550,Unique,Grand Rapids,NA,Kent County,MI,42.9633599,-85.6680863
49555,Unique,Grand Rapids,NA,Kent County,MI,42.97,-85.67
49560,Unique,Grand Rapids,NA,Kent County,MI,42.9115599,-85.6264635
49588,PO Box,Grand Rapids,NA,Kent County,MI,42.96,-85.67
49599,PO Box,Grand Rapids,NA,Kent County,MI,42.97,-85.67
49601,Standard,Cadillac,"Cadillac, MI",Wexford County,MI,44.3,-85.5
49610,PO Box,Acme,NA,Grand Traverse County,MI,44.7640643,-85.505604
49611,PO Box,Alba,"Alba, MI",Antrim County,MI,44.975,-84.97
49612,Standard,Alden,"Alden, MI",Antrim County,MI,44.88,-85.22
49613,Standard,Arcadia,"Arcadia, MI",Manistee County,MI,44.51,-86.2
49614,Standard,Bear Lake,"Bear Lake, MI",Manistee County,MI,44.4,-86.1
49615,Standard,Bellaire,"Bellaire, MI",Antrim County,MI,45,-85.2
49616,Standard,Benzonia,"Benzonia, MI",Benzie County,MI,44.57,-86.08
49617,Standard,Beulah,"Beulah, MI",Benzie County,MI,44.6,-86
49618,Standard,Boon,"Boon, MI",Wexford County,MI,44.3,-85.6
49619,Standard,Brethren,"Brethren, MI",Manistee County,MI,44.3,-86
49620,Standard,Buckley,"Buckley, MI",Wexford County,MI,44.5,-85.7
49621,Standard,Cedar,"Cedar, MI",Leelanau County,MI,44.9,-85.8
49622,Standard,Central Lake,"Central Lake, MI",Antrim County,MI,45.1,-85.3
49623,Standard,Chase,"Chase, MI",Lake County,MI,43.9,-85.7
49625,Standard,Copemish,"Copemish, MI",Manistee County,MI,44.4,-85.9
49626,PO Box,Eastlake,"Eastlake, MI",Manistee County,MI,44.24,-86.3
49627,PO Box,Eastport,"Eastport, MI",Antrim County,MI,45.108,-85.351
49628,PO Box,Elberta,"Elberta, MI",Benzie County,MI,44.62,-86.23
49629,Standard,Elk Rapids,"Elk Rapids, MI",Antrim County,MI,44.91,-85.4
49630,Standard,Empire,"Empire, MI",Leelanau County,MI,44.8,-86
49631,Standard,Evart,"Evart, MI",Osceola County,MI,43.9,-85.3
49632,Standard,Falmouth,"Falmouth, MI",Missaukee County,MI,44.2,-85
49633,Standard,Fife Lake,"Fife Lake, MI",Kalkaska County,MI,44.6,-85.1
49634,PO Box,Filer City,"Filer City, MI",Manistee County,MI,44.215,-86.289
49635,Standard,Frankfort,"Frankfort, MI",Benzie County,MI,44.6,-86.2
49636,Standard,Glen Arbor,"Glen Arbor, MI",Leelanau County,MI,44.88,-86.01
49637,Standard,Grawn,"Grawn, MI",Grand Traverse County,MI,44.62,-85.7
49638,Standard,Harrietta,"Harrietta, MI",Wexford County,MI,44.3,-85.8
49639,Standard,Hersey,"Hersey, MI",Osceola County,MI,43.8,-85.4
49640,Standard,Honor,"Honor, MI",Benzie County,MI,44.7,-86.1
49642,Standard,Idlewild,"Idlewild, MI",Lake County,MI,43.88,-85.76
49643,Standard,Interlochen,"Interlochen, MI",Grand Traverse County,MI,44.6,-85.8
49644,Standard,Irons,"Irons, MI",Lake County,MI,44.1,-85.9
49645,Standard,Kaleva,"Kaleva, MI",Manistee County,MI,44.4,-86
49646,Standard,Kalkaska,"Kalkaska, MI",Kalkaska County,MI,44.7,-85.1
49648,Standard,Kewadin,"Kewadin, MI",Antrim County,MI,45,-85.4
49649,Standard,Kingsley,"Kingsley, MI",Grand Traverse County,MI,44.5,-85.5
49650,Standard,Lake Ann,"Lake Ann, MI",Benzie County,MI,44.73,-85.88
49651,Standard,Lake City,"Lake City, MI",Missaukee County,MI,44.4,-85.1
49653,Standard,Lake Leelanau,"Lake Leelanau, MI",Leelanau County,MI,45,-85.7
49654,Standard,Leland,"Leland, MI",Leelanau County,MI,45.2,-85.9
49655,Standard,Leroy,"Leroy, MI",Osceola County,MI,44,-85.4
49656,Standard,Luther,"Luther, MI",Lake County,MI,44.1,-85.7
49657,Standard,Mc Bain,"Mc Bain, MI",Missaukee County,MI,44.2,-85.2
