order,x,y,hole,piece,group,fips,abbr,NAME
13750,700629.7861,-2180406.736,F,1,72.1,72,PR,Puerto Rico
13751,700502.367,-2180386.545,F,1,72.1,72,PR,Puerto Rico
13752,699403.3107,-2180585.613,F,1,72.1,72,PR,Puerto Rico
13753,699041.7368,-2180900.912,F,1,72.1,72,PR,Puerto Rico
13754,698775.2785,-2181133.269,F,1,72.1,72,PR,Puerto Rico
13755,697987.1632,-2180780.46,F,1,72.1,72,PR,Puerto Rico
13756,697885.4194,-2180734.914,F,1,72.1,72,PR,Puerto Rico
13757,696053.7321,-2180336.778,F,1,72.1,72,PR,Puerto Rico
13758,695960.4236,-2180324.662,F,1,72.1,72,PR,Puerto Rico
13759,694902.2663,-2180187.257,F,1,72.1,72,PR,Puerto Rico
13760,693731.5123,-2180315.889,F,1,72.1,72,PR,Puerto Rico
13761,693541.3831,-2180336.778,F,1,72.1,72,PR,Puerto Rico
13762,693334.3138,-2180418.858,F,1,72.1,72,PR,Puerto Rico
13763,692285.3186,-2180834.668,F,1,72.1,72,PR,Puerto Rico
13764,691604.877,-2181481.858,F,1,72.1,72,PR,Puerto Rico
13765,691142.5829,-2182361.276,F,1,72.1,72,PR,Puerto Rico
13766,691133.8529,-2182377.883,F,1,72.1,72,PR,Puerto Rico
13767,691312.5445,-2182661.208,F,1,72.1,72,PR,Puerto Rico
13768,691447.869,-2182875.772,F,1,72.1,72,PR,Puerto Rico
13769,691238.4515,-2183722.251,F,1,72.1,72,PR,Puerto Rico
13770,690828.4088,-2183555.062,F,1,72.1,72,PR,Puerto Rico
13771,690679.4044,-2183494.308,F,1,72.1,72,PR,Puerto Rico
13772,690139.3951,-2183274.128,F,1,72.1,72,PR,Puerto Rico
13773,689773.8974,-2183413.208,F,1,72.1,72,PR,Puerto Rico
13774,689092.528,-2183672.484,F,1,72.1,72,PR,Puerto Rico
13775,688464.4957,-2185066.618,F,1,72.1,72,PR,Puerto Rico
13776,687522.4474,-2185415.207,F,1,72.1,72,PR,Puerto Rico
13777,685847.548,-2186211.698,F,1,72.1,72,PR,Puerto Rico
13778,683968.8351,-2186356.757,F,1,72.1,72,PR,Puerto Rico
13779,683911.042,-2186361.219,F,1,72.1,72,PR,Puerto Rico
13780,682445.5601,-2186161.931,F,1,72.1,72,PR,Puerto Rico
13781,680823.0701,-2186161.931,F,1,72.1,72,PR,Puerto Rico
13782,679881.0218,-2186012.63,F,1,72.1,72,PR,Puerto Rico
13783,678886.5641,-2185365.22,F,1,72.1,72,PR,Puerto Rico
13784,677892.1063,-2184817.563,F,1,72.1,72,PR,Puerto Rico
13785,677642.4886,-2184712.034,F,1,72.1,72,PR,Puerto Rico
13786,676949.8378,-2184419.208,F,1,72.1,72,PR,Puerto Rico
13787,675671.8712,-2184468.03,F,1,72.1,72,PR,Puerto Rico
13788,675641.364,-2184469.195,F,1,72.1,72,PR,Puerto Rico
13789,674968.1892,-2184469.195,F,1,72.1,72,PR,Puerto Rico
13790,674489.2375,-2184469.195,F,1,72.1,72,PR,Puerto Rico
13791,673286.2432,-2184469.195,F,1,72.1,72,PR,Puerto Rico
13792,673282.1346,-2184453.556,F,1,72.1,72,PR,Puerto Rico
13793,673248.4288,-2184325.257,F,1,72.1,72,PR,Puerto Rico
13794,673129.2351,-2183871.551,F,1,72.1,72,PR,Puerto Rico
13795,672239.376,-2182975.306,F,1,72.1,72,PR,Puerto Rico
13796,671739.9778,-2182595.259,F,1,72.1,72,PR,Puerto Rico
13797,671454.3357,-2182377.883,F,1,72.1,72,PR,Puerto Rico
13798,670773.8941,-2181830.227,F,1,72.1,72,PR,Puerto Rico
13799,669831.8458,-2181730.693,F,1,72.1,72,PR,Puerto Rico
13800,668418.7733,-2182129.048,F,1,72.1,72,PR,Puerto Rico
13801,667385.7792,-2182792.534,F,1,72.1,72,PR,Puerto Rico
13802,666622.3223,-2183703.173,F,1,72.1,72,PR,Puerto Rico
13803,666531.3735,-2183811.655,F,1,72.1,72,PR,Puerto Rico
13804,666197.425,-2184553.223,F,1,72.1,72,PR,Puerto Rico
13805,666168.0309,-2184618.496,F,1,72.1,72,PR,Puerto Rico
13806,666168.0309,-2185802.5,F,1,72.1,72,PR,Puerto Rico
13807,666168.0309,-2185813.342,F,1,72.1,72,PR,Puerto Rico
13808,666296.5959,-2186119.662,F,1,72.1,72,PR,Puerto Rico
13809,666623.8607,-2186899.407,F,1,72.1,72,PR,Puerto Rico
13810,667248.5898,-2187503.436,F,1,72.1,72,PR,Puerto Rico
13811,667331.3807,-2187565.715,F,1,72.1,72,PR,Puerto Rico
13812,667725.4857,-2187862.176,F,1,72.1,72,PR,Puerto Rico
13813,667740.0933,-2187873.165,F,1,72.1,72,PR,Puerto Rico
13814,667939.7495,-2188721.067,F,1,72.1,72,PR,Puerto Rico
13815,667947.0885,-2188752.234,F,1,72.1,72,PR,Puerto Rico
13816,667790.7411,-2189498.297,F,1,72.1,72,PR,Puerto Rico
13817,667214.4577,-2189458.219,F,1,72.1,72,PR,Puerto Rico
13818,666906.8276,-2189038.944,F,1,72.1,72,PR,Puerto Rico
13819,666304.0307,-2188984.868,F,1,72.1,72,PR,Puerto Rico
13820,666273.5104,-2188982.131,F,1,72.1,72,PR,Puerto Rico
13821,665809.7647,-2189039.104,F,1,72.1,72,PR,Puerto Rico
