x,y,order,hole,piece,group,fips,abbr,full,county
1018286.006,-2089529.53,55266,FALSE,2,699.1,72053,PR,Puerto Rico,Fajardo Municipio
1018259.802,-2089032.742,55267,FALSE,2,699.1,72053,PR,Puerto Rico,Fajardo Municipio
1017971.99,-2088685.254,55268,FALSE,2,699.1,72053,PR,Puerto Rico,Fajardo Municipio
1017814.982,-2088337.546,55269,FALSE,2,699.1,72053,PR,Puerto Rico,Fajardo Municipio
982653.9866,-2108949.643,55270,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
983064.6739,-2108599.733,55271,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
983421.4103,-2107952.102,55272,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
983945.2843,-2108039.084,55273,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
984294.3134,-2108254.227,55274,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
984900.3248,-2108356.844,55275,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
985414.0693,-2108911.106,55276,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
985908.6557,-2109227.545,55277,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986204.835,-2109099.164,55278,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986444.4209,-2109746.354,55279,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986937.4658,-2110322.417,55280,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
987113.4117,-2110870.734,55281,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
987394.1765,-2110840.345,55282,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
987498.7751,-2110396.187,55283,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
988037.1828,-2110343.777,55284,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
988255.6288,-2110094.062,55285,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
988834.9951,-2109979.774,55286,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
988922.4175,-2109437.623,55287,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989191.9517,-2109189.008,55288,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989943.08,-2109103.347,55289,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989846.8493,-2108257.75,55290,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989999.0127,-2107826.584,55291,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
989881.8623,-2107336.401,55292,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
990240.5805,-2106766.284,55293,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
992429.885,-2106789.846,55294,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
992655.1574,-2106488.602,55295,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
993371.2727,-2106252.759,55296,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
